Date,Time,TempC
5/12/2016,21:00:00,13.5
5/12/2016,22:00:00,12.97
5/12/2016,23:00:00,12.57
5/13/2016,0:00:00,12.24
5/13/2016,1:00:00,12
5/13/2016,2:00:00,11.85
5/13/2016,3:00:00,11.74
5/13/2016,4:00:00,11.66
5/13/2016,5:00:00,11.56
5/13/2016,6:00:00,11.51
5/13/2016,7:00:00,11.47
5/13/2016,8:00:00,11.53
5/13/2016,9:00:00,11.74
5/13/2016,10:00:00,12.11
5/13/2016,11:00:00,12.61
5/13/2016,12:00:00,13.22
5/13/2016,13:00:00,13.83
5/13/2016,14:00:00,14.42
5/13/2016,15:00:00,14.79
5/13/2016,16:00:00,14.9
5/13/2016,17:00:00,14.83
5/13/2016,18:00:00,14.58
5/13/2016,19:00:00,14.1
5/13/2016,20:00:00,13.53
5/13/2016,21:00:00,12.93
5/13/2016,22:00:00,12.44
5/13/2016,23:00:00,12.05
5/14/2016,0:00:00,11.8
5/14/2016,1:00:00,11.62
5/14/2016,2:00:00,11.55
5/14/2016,3:00:00,11.51
5/14/2016,4:00:00,11.49
5/14/2016,5:00:00,11.46
5/14/2016,6:00:00,11.37
5/14/2016,7:00:00,11.38
5/14/2016,8:00:00,11.45
5/14/2016,9:00:00,11.74
5/14/2016,10:00:00,12.19
5/14/2016,11:00:00,12.47
5/14/2016,12:00:00,12.56
5/14/2016,13:00:00,12.79
5/14/2016,14:00:00,13.02
5/14/2016,15:00:00,12.94
5/14/2016,16:00:00,12.71
5/14/2016,17:00:00,12.57
5/14/2016,18:00:00,12.69
5/14/2016,19:00:00,12.54
5/14/2016,20:00:00,12.17
5/14/2016,21:00:00,11.98
5/14/2016,22:00:00,11.94
5/14/2016,23:00:00,11.95
5/15/2016,0:00:00,11.8
5/15/2016,1:00:00,11.9
5/15/2016,2:00:00,11.95
5/15/2016,3:00:00,12.27
5/15/2016,4:00:00,12.62
5/15/2016,5:00:00,12.51
5/15/2016,6:00:00,12.46
5/15/2016,7:00:00,12.37
5/15/2016,8:00:00,12.47
5/15/2016,9:00:00,12.8
5/15/2016,10:00:00,12.92
5/15/2016,11:00:00,13.01
5/15/2016,12:00:00,13.16
5/15/2016,13:00:00,13.24
5/15/2016,14:00:00,13.33
5/15/2016,15:00:00,13.37
5/15/2016,16:00:00,13.41
5/15/2016,17:00:00,13.49
5/15/2016,18:00:00,13.24
5/15/2016,19:00:00,12.95
5/15/2016,20:00:00,12.8
5/15/2016,21:00:00,12.7
5/15/2016,22:00:00,12.7
5/15/2016,23:00:00,12.74
5/16/2016,0:00:00,12.75
5/16/2016,1:00:00,12.78
5/16/2016,2:00:00,12.88
5/16/2016,3:00:00,12.94
5/16/2016,4:00:00,12.94
5/16/2016,5:00:00,12.95
5/16/2016,6:00:00,12.91
5/16/2016,7:00:00,12.95
5/16/2016,8:00:00,13.05
5/16/2016,9:00:00,13.29
5/16/2016,10:00:00,13.52
5/16/2016,11:00:00,13.86
5/16/2016,12:00:00,14.3
5/16/2016,13:00:00,14.39
5/16/2016,14:00:00,14.47
5/16/2016,15:00:00,14.66
5/16/2016,16:00:00,14.76
5/16/2016,17:00:00,14.66
5/16/2016,18:00:00,14.55
5/16/2016,19:00:00,14.33
5/16/2016,20:00:00,14.11
5/16/2016,21:00:00,13.82
5/16/2016,22:00:00,13.44
5/16/2016,23:00:00,13.15
5/17/2016,0:00:00,12.98
5/17/2016,1:00:00,12.89
5/17/2016,2:00:00,12.85
5/17/2016,3:00:00,12.77
